When,VideoURL,Author,Topic,ContentType,ScreenerVerdict,ScreenerReasons,Swipe,WhyKind,WhyReason,Views,OutlierRatio
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7659396683121347854,learnwithmeera,time words tell you the tense,grammar,keep,,approve,,,884900,455.1
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7654076615965609230,learnwithmeera,past tense of irregular verbs,grammar,keep,,approve,,,567000,291.6
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7648868593857269006,learnwithmeera,currencies of different countries,vocabulary,keep,,approve,,,248200,127.6
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@wordy.adri/video/7653996542667296022,wordy.adri,unclear English quiz,other,keep,,approve,,,188300,62.3
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7656642261425360141,learnwithmeera,animal idioms and their meanings,phrases,keep,,approve,,,94400,48.5
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7651440691024907533,learnwithmeera,would vs should vs could,grammar,keep,,approve,,,86500,44.5
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@wordy.adri/video/7651245379375303959,wordy.adri,homonyms with two meanings,vocabulary,keep,,approve,,,133800,44.3
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7660511194855378190,learnwithmeera,lakh and crore versus million and billion,vocabulary,keep,,approve,,,76200,39.2
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@wordy.adri/video/7655422062516817174,wordy.adri,"male, female and baby animal names",vocabulary,keep,,approve,,,104800,34.7
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7666454035251137805,learnwithmeera,everyday verbs in the past tense,grammar,keep,,approve,,,57700,29.7
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7663097533542960398,learnwithmeera,common grammar mistakes and fixes,grammar,keep,,approve,,,54200,27.9
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@wordy.adri/video/7653330959311342870,wordy.adri,religions and their followers,vocabulary,keep,,approve,,,83200,27.5
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7626609648077966605,learnwithmeera,names for types of eaters,vocabulary,keep,,approve,,,48300,24.8
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7638839341757779213,learnwithmeera,texting abbreviations,slang,keep,,approve,,,47400,24.4
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7657026070935342350,learnwithmeera,common phrasal verbs and meanings,phrases,keep,,approve,,,42000,21.6
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@wordy.adri/video/7656217029963287830,wordy.adri,colours and their shades,vocabulary,keep,,approve,,,58100,19.2
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@wordy.adri/video/7652816829194292502,wordy.adri,human vs animal words,vocabulary,keep,,approve,,,55200,18.3
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7669427889154182414,learnwithmeera,berry names,vocabulary,keep,,approve,,,26000,13.4
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7665409187974745357,learnwithmeera,irregular plural forms,grammar,keep,,approve,,,24300,12.5
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7661987333339729166,learnwithmeera,confusing opposite word pairs,vocabulary,keep,,approve,,,22600,11.6
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7664965927812828430,learnwithmeera,irregular past tense verbs,grammar,keep,,approve,,,21600,11.1
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7653692173707267341,learnwithmeera,short replies instead of long sentences,phrases,keep,,approve,,,19800,10.2
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7670510221692898573,learnwithmeera,conversational phrase upgrades,phrases,keep,,approve,,,14400,7.4
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@wordy.adri/video/7665773448924368150,wordy.adri,many vs much,grammar,keep,,approve,,,20000,6.6
2026-08-08T14:06:28.349Z,https://www.tiktok.com/@learnwithmeera/video/7668678967204891917,learnwithmeera,everyday slang swaps,slang,keep,,approve,,,11900,6.1
